ID,Assessment
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL01,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL02,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL03,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL04,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL05,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL06,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL07,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL08,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL09,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL10,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL11,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL12,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL13,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL14,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-CTL15,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN01,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN02,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN03,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN04,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN05,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN06,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN07,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN08,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN09,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN10,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN11,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN12,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN13,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN14,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODN15,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP01,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP02,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP03,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP04,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP05,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP06,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP07,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP08,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP09,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP10,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP11,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP12,tsk_4a57abb949bb1
03de63d1-4311-493c-88d2-3e922c2c7eab_sub-ODP13,tsk_4a57abb949bb1
