ID,Age,Sex
ddb678bc-b1b4-4b21-96bd-4b1c9b7c47d8_sub-MOCCAG003,0,M
ddb678bc-b1b4-4b21-96bd-4b1c9b7c47d8_sub-MOCCAG002,0,F
a5cae48e-b8f9-4c00-84f8-fcd9bdfe201e_sub-01,0,M
ddb678bc-b1b4-4b21-96bd-4b1c9b7c47d8_sub-MOCCAG001,0,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-1003,1,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301602,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301601,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301600,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301208,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301209,1,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0014,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301201,1,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0004,1,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0016,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301206,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301207,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301604,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301605,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301606,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301607,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301203,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301202,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301603,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301200,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301608,1,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0023,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301205,1,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0024,1,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0020,1,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301609,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301204,1,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300305,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301408,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301409,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302002,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301809,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301908,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301907,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301909,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300302,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300207,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300102,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300103,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301906,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300306,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300307,2,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0011,2,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-1001,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301803,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301804,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301802,2,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0009,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302004,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302003,2,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0006,2,M
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0030,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301402,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301403,2,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301401,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301400,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301806,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301805,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302001,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-302000,2,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-300205,2,F
