ID,Modality
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0273,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0074,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON50015,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0328,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0073,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON49080,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0072,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0330,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON48984,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0071,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0070,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON48925,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0331,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0069,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0332,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0068,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON48190,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0067,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0075,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0327,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON50636,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0076,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0323,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0086,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON52733,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0085,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0084,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0083,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0324,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0082,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON47254,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON52662,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0080,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0079,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0325,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON52083,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0078,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0326,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0077,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON51005,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0081,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0087,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0333,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON46717,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0050,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON42941,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0049,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0338,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0048,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0047,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0046,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON42107,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0045,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0044,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0339,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0043,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0042,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON41606,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0041,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0040,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0340,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0051,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0337,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0052,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0053,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0065,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0334,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0064,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0063,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0062,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON44262,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0061,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0060,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0066,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0335,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0058,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON43585,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0057,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0056,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0336,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0055,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON43016,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0054,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0059,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0088,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON52992,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-01,Arterial Spin Labeling
